Marca;Nombre;Precio_Actual;Precio_Antiguo;Descuento;Valoracion
LENOVO;"
			Portátil - Lenovo IdeaPad S540-15IWL, 15.6"" FHD, Intel® Core™ i5-8265U, 8GB RAM, 512GB SSD, W10, Gris mineral";749,-;"


		828,-";"
		Te ahorras: € 79,00";No Valorado
HP;"
			Convertible 2 en 1 - HP Pavilion x360 14-dh1007ns, 14"" HD, Intel® Core™ i5-10210U, 8GB RAM, 512 GB, W10, Oro";799,-;"


		881,-";"
		Te ahorras: € 82,00";No Valorado
MICROSOFT;"
			Convertible 2 en 1 - Microsoft Surface Pro 6, 12.3"", Intel® Core™ i5-8250U, 8 GB RAM, 256 GB SSD";899,-;Sin descuento;Sin descuento;No Valorado
LENOVO;"
			Portátil gaming - Lenovo IdeaPad L340-15IRH, 15"" FHD, Intel® Core™ i7-9750H, 8GB RAM, 512GB SSD, GTX1650, FDOS";799,-;Sin descuento;Sin descuento;No Valorado
LG ELECTRONICS;"
			Portátil - LG Gram 13Z990-G, 13.3 "" Full-HD, Intel® Core™ i5-8265U, 8 GB RAM, 256 GB SSD, W10 Home, Gris";799,-;Sin descuento;Sin descuento;['value-5']
ASUS;"
			Portátil - ASUS ZenBook 14 UX431FA-AM021T, 14"", FHD, Intel® Core™ i7-8565U, 8GB RAM, 256GB SSD, W10";999,-;Sin descuento;Sin descuento;['value-5']
MSI;"
			Portátil - MSI A10RB-66XES, 14"" Full HD, Intel® Core™ i7-10510U, 16GB, 512GB SSD, MX250, FreeDOS, Gris";949,-;Sin descuento;Sin descuento;['value-5']
LENOVO;"
			Convertible - YOGA 530-14IKB 14/Intel® Core™ i5-8250U/8GB/256SSD/UMA/W10";849,-;"


		899,-";"
		Te ahorras: € 50,00";No Valorado
LENOVO;"
			Convertible 2 en 1 - Lenovo Ideapad D330-10IGM, 10.1"" HD, Intel® Celeron® N4000, 4 GB RAM, 128 GB eMMC, W10S";369,-;"


		405,-";"
		Te ahorras: € 36,00";No Valorado
HP;"
			Convertible 2 en 1 - HP Pavilion x360 14-DH1022NS, 14"" FHD, Intel® Core™ i7-10510U,8GB RAM,512GB SSD,MX250,W10";899,-;"


		993,-";"
		Te ahorras: € 94,00";No Valorado
APPLE;"
			APPLE MacBook Pro MUHQ2Y/A, 13.3"" Retina, Intel® Core™ i5-8257U, 8 GB, 128 GB SSD, Intel® Iris® Plus, Plata";1423,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			Portátil - ASUS ZenBook 14 UX434FAC-A5188T, 14” FHD, Intel® Core™ i7-10510U, 16GB RAM, 512 GB SSD, W10";1258,-;Sin descuento;Sin descuento;['value-5']
LENOVO;"
			Portátil gaming -  Lenovo Legion Y540-15IRH, 15.6"", Intel® Core™ i7-9750H, 16GB, 1TB+256SSD, GTX1660, FreeDos";1099,-;"


		1215,-";"
		Te ahorras: € 116,00";No Valorado
LENOVO;"
			Portátil gaming - Lenovo Legion Y540-15IRH, 15"", Intel® Core™ i7-9750H, 16GB RAM, 1TB+512GB SSD, RTX2060, FDOS";1499,-;"


		1699,-";"
		Te ahorras: € 200,00";No Valorado
LG ELECTRONICS;"
			Portátil - LG Gram 14Z990-G, 14"" Full HD, Intel® Core™ i5-8265U, 8GB RAM, 256 GB SSD, W10";849,-;Sin descuento;Sin descuento;No Valorado
